"VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
891,104,10801,22,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,-9999,-9999,72,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804,23,0
892,2675,10802,22,"10802_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush","Shrubland",98,-9999,-9999,98,100,-9999,-9999,"IV-A",255,163,180,1,0.639216,0.705882,595,0
894,676,10861,22,"10861_22","Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany","Shrubland",89,-9999,-9999,89,100,-9999,-9999,"IV-A",137,68,101,0.537255,0.266667,0.396078,150,0
895,11,10862,22,"10862_22","Rocky Mountain Lower Montane-Foothill Shrubland-True Mountain Mahogany","Shrubland",106,-9999,-9999,106,100,-9999,-9999,"IV-B",137,25,135,0.537255,0.098039,0.529412,2,0
900,2,11350,22,"11350_22","Inter-Mountain Basins Semi-Desert Grassland","Grassland",25,-9999,-9999,25,100,-9999,-9999,"II-C",185,174,211,0.72549,0.682353,0.827451,0,0
907,17,11660,22,"11660_22","Middle Rocky Mountain Montane Douglas-fir Forest and Woodland","Conifer",207,53,138,32,16,60,24,"I-C",214,112,0,0.839216,0.439216,0,4,0
1148,2040,10490,28,"10490_19_20_21_23_28_29","Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",385,-9999,-9999,385,100,-9999,-9999,"V-A",102,205,171,0.4,0.803922,0.670588,454,0
1158,22,10620,28,"10620_22_28","Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland","Shrubland",229,78,-9999,58,25,75,-9999,"III-A",191,19,230,0.74902,0.07451,0.901961,5,0
1162,385,10810,28,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,-9999,-9999,616,100,-9999,-9999,"V-B",245,202,122,0.960784,0.792157,0.478431,86,0
1166,2225,11150,28,"11150_28","Inter-Mountain Basins Juniper Savanna","Conifer",337,434,276,112,33,26,41,"III-B",137,112,68,0.537255,0.439216,0.266667,495,0
1168,344,11190,28,"11190_28","Southern Rocky Mountain Juniper Woodland and Savanna","Conifer",501,212,32,26,6,12,82,"I-C",135,86,20,0.529412,0.337255,0.078431,77,0
1169,3,11250,28,"11250_6_12_13_15_16_17_18_23_24_25_28","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",117,-9999,-9999,117,100,-9999,-9999,"IV-B",255,115,223,1,0.45098,0.87451,1,0
1171,7567,11270,28,"11270_28","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",120,-9999,-9999,120,100,-9999,-9999,"IV-B",194,158,215,0.760784,0.619608,0.843137,1683,0
1172,50,11350,28,"11350_15_28","Inter-Mountain Basins Semi-Desert Grassland","Grassland",77,37,-9999,25,33,67,-9999,"I-C",185,174,211,0.72549,0.682353,0.827451,11,0
1177,631,11530,28,"11530_28","Inter-Mountain Basins Greasewood Flat","Shrubland",204,-9999,-9999,204,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,140,0
1406,1049,10590,33,"10590_27_33","Southern Rocky Mountain Pinyon-Juniper Woodland","Conifer",327,406,566,137,42,34,24,"III-B",183,138,46,0.717647,0.541176,0.180392,233,0
1407,920,11250,33,"11250_20_29_30_31_33","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",92,-9999,-9999,92,100,-9999,-9999,"IV-A",255,190,232,1,0.745098,0.909804,205,0
1411,55,11070,33,"11070_27_33","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",115,255,223,0.45098,1,0.87451,12,0
1413,345,11170,33,"11170_33","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",461,-9999,20,19,4,-9999,96,"I-C",255,85,0,1,0.333333,0,77,0
1414,470,11260,33,"11260_20_29_33","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",50,-9999,-9999,50,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,105,0
1418,2193,11590,33,"11590_27_33","Rocky Mountain Montane Riparian Systems","Riparian",273,-9999,80,62,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706,488,0
1421,39,14950,33,"14950_27_33","Western Great Plains Depressional Wetland Systems","Riparian",15,-9999,-9999,15,100,-9999,-9999,"II-B",104,0,156,0.407843,0,0.611765,9,0
